x	cosh(x)		cosh'(x)		cosh'(x)		cosh''(x)	cosh''(x)

			           af	      df	        af	      df

5.420000 112.941775 112.937348 114.074332 112.941775 112.945540
5.440000 115.223261 115.218922 116.378874 115.223261 115.227102
5.460000 117.550839 117.546585 118.729970 117.550839 117.554757
5.480000 119.925438 119.921269 121.128558 119.925438 119.929436
5.500000 122.348010 122.343923 123.575600 122.348010 122.352088
5.520000 124.819522 124.815516 126.072074 124.819522 124.823682
5.540000 127.340963 127.337036 128.618978 127.340963 127.345208
5.560000 129.913343 129.909494 131.217331 129.913343 129.917673
5.580000 132.537689 132.533917 133.868173 132.537689 132.542107
5.600000 135.215053 135.211355 136.572565 135.215053 135.219560
5.620000 137.946504 137.942879 139.331587 137.946504 137.951102
5.640000 140.733136 140.729583 142.146343 140.733136 140.737827
5.660000 143.576063 143.572580 145.017960 143.576063 143.580848
5.680000 146.476422 146.473008 147.947586 146.476422 146.481304
5.700000 149.435373 149.432028 150.936393 149.435373 149.440355
5.720000 152.454101 152.450822 153.985577 152.454101 152.459183
5.740000 155.533813 155.530598 157.096357 155.533813 155.538997
5.760000 158.675740 158.672589 160.269978 158.675740 158.681029
5.780000 161.881140 161.878051 163.507708 161.881140 161.886536
5.800000 165.151294 165.148266 166.810844 165.151294 165.156799
5.820000 168.487511 168.484543 170.180707 168.487511 168.493127
5.840000 171.891125 171.888216 173.618644 171.891125 171.896855
5.860000 175.363498 175.360646 177.126031 175.363498 175.369343
5.880000 178.906018 178.903223 180.704270 178.906018 178.911982
5.900000 182.520104 182.517364 184.354794 182.520104 182.526188
5.920000 186.207200 186.204514 188.079062 186.207200 186.213407
5.940000 189.968781 189.966149 191.878565 189.968781 189.975113
5.960000 193.806352 193.803772 195.754821 193.806352 193.812812
5.980000 197.721448 197.718920 199.709382 197.721448 197.728039
6.000000 201.715636 201.713157 203.743829 201.715636 201.722360
6.020000 205.790513 205.788083 207.859776 205.790513 205.797372
6.040000 209.947708 209.945327 212.058870 209.947708 209.954707
6.060000 214.188886 214.186551 216.342791 214.188886 214.196025
6.080000 218.515741 218.513453 220.713251 218.515741 218.523025
6.100000 222.930006 222.927764 225.172000 222.930006 222.937438
6.120000 227.433446 227.431248 229.720821 227.433446 227.441028
6.140000 232.027863 232.025708 234.361533 232.027863 232.035597
6.160000 236.715094 236.712981 239.095992 236.715094 236.722984
6.180000 241.497013 241.494943 243.926094 241.497013 241.505063
6.200000 246.375535 246.373506 248.853769 246.375535 246.383748
6.220000 251.352611 251.350621 253.880988 251.352611 251.360989
6.240000 256.430230 256.428281 259.009764 256.430230 256.438778
6.260000 261.610426 261.608514 264.242147 261.610426 261.619146
6.280000 266.895269 266.893395 269.580230 266.895269 266.904165
6.300000 272.286873 272.285037 275.026149 272.286873 272.295950
6.320000 277.787396 277.785596 280.582082 277.787396 277.796656
6.340000 283.399038 283.397274 286.250252 283.399038 283.408485
6.360000 289.124043 289.122314 292.032926 289.124043 289.133680
6.380000 294.964701 294.963006 297.932416 294.964701 294.974534
6.400000 300.923350 300.921688 303.951084 300.923350 300.933381
6.420000 307.002371 307.000743 310.091336 307.002371 307.012605
6.440000 313.204198 313.202602 316.355629 313.204198 313.214638
6.460000 319.531311 319.529746 322.746468 319.531311 319.541962
6.480000 325.986240 325.984706 329.266410 325.986240 325.997106
6.500000 332.571568 332.570065 335.918063 332.571568 332.582654
6.520000 339.289930 339.288456 342.704088 339.289930 339.301239
6.540000 346.144011 346.142567 349.627199 346.144011 346.155550
6.560000 353.136555 353.135139 356.690165 353.136555 353.148327
6.580000 360.270359 360.268971 363.895813 360.270359 360.282368
6.600000 367.548275 367.546914 371.247023 367.548275 367.560527
6.620000 374.973215 374.971882 378.746738 374.973215 374.985715
6.640000 382.548150 382.546843 386.397956 382.548150 382.560902
6.660000 390.276109 390.274828 394.203738 390.276109 390.289119
6.680000 398.160184 398.158928 402.167207 398.160184 398.173456
6.700000 406.203528 406.202297 410.291549 406.203528 406.217068
6.720000 414.409359 414.408152 418.580012 414.409359 414.423173
6.740000 422.780959 422.779777 427.035913 422.780959 422.795052
6.760000 431.321678 431.320518 435.662634 431.321678 431.336055
6.780000 440.034930 440.033794 444.463626 440.034930 440.049598
6.800000 448.924203 448.923089 453.442409 448.924203 448.939167
6.820000 457.993051 457.991959 462.602576 457.993051 458.008318
6.840000 467.245102 467.244032 471.947789 467.245102 467.260677
6.860000 476.684058 476.683009 481.481788 476.684058 476.699948
6.880000 486.313694 486.312666 491.208386 486.313694 486.329905
6.900000 496.137862 496.136854 501.131474 496.137862 496.154400
6.920000 506.160491 506.159503 511.255022 506.160491 506.177363
6.940000 516.385592 516.384623 521.583078 516.385592 516.402805
6.960000 526.817253 526.816304 532.119774 526.817253 526.834814
6.980000 537.459649 537.458718 542.869325 537.459649 537.477564
7.000000 548.317035 548.316123 553.836032 548.317035 548.335313
7.020000 559.393756 559.392862 565.024280 559.393756 559.412402
7.040000 570.694241 570.693365 576.438545 570.694241 570.713265
7.060000 582.223012 582.222153 588.083393 582.223012 582.242420
7.080000 593.984680 593.983838 599.963483 593.984680 594.004480
7.100000 605.983950 605.983125 612.083566 605.983950 606.004150
7.120000 618.225621 618.224812 624.448490 618.225621 618.246229
7.140000 630.714591 630.713798 637.063203 630.714591 630.735615
7.160000 643.455855 643.455078 649.932749 643.455855 643.477304
